,Product Name,Product Link,Product Price,Prodcut Description,Product Rating
0,Packard 255 G2,https://webscraper.io//test-sites/e-commerce/static/product/516,$416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews
1,Aspire E1-510,https://webscraper.io//test-sites/e-commerce/static/product/517,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews
2,ThinkPad T540p,https://webscraper.io//test-sites/e-commerce/static/product/518,$1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews
3,ProBook,https://webscraper.io//test-sites/e-commerce/static/product/519,$739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews
4,ThinkPad X240,https://webscraper.io//test-sites/e-commerce/static/product/520,$1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12 reviews
5,Aspire E1-572G,https://webscraper.io//test-sites/e-commerce/static/product/521,$581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2 reviews
6,ThinkPad Yoga,https://webscraper.io//test-sites/e-commerce/static/product/522,$1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13 reviews
7,Pavilion,https://webscraper.io//test-sites/e-commerce/static/product/523,$609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews
8,Inspiron 15,https://webscraper.io//test-sites/e-commerce/static/product/524,$745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12 reviews
9,Dell XPS 13,https://webscraper.io//test-sites/e-commerce/static/product/525,$1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 reviews
10,ThinkPad X230,https://webscraper.io//test-sites/e-commerce/static/product/526,$1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10 reviews
11,HP 250 G3,https://webscraper.io//test-sites/e-commerce/static/product/527,$520.99,"15.6"", CoreÂ i5-4210U, 4GB, 500GB, Windows 8.1",13 reviews
12,ThinkPad Yoga,https://webscraper.io//test-sites/e-commerce/static/product/528,$1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2 reviews
13,HP 350 G1,https://webscraper.io//test-sites/e-commerce/static/product/529,$577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10 reviews
14,Asus VivoBook Ma...,https://webscraper.io//test-sites/e-commerce/static/product/530,$399.00,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews
15,Dell Vostro 15,https://webscraper.io//test-sites/e-commerce/static/product/531,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews
16,Acer Spin 5,https://webscraper.io//test-sites/e-commerce/static/product/532,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews
17,Acer Aspire A515...,https://webscraper.io//test-sites/e-commerce/static/product/533,$679.00,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 reviews
18,Dell Inspiron 15,https://webscraper.io//test-sites/e-commerce/static/product/534,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",7 reviews
19,Asus VivoBook S1...,https://webscraper.io//test-sites/e-commerce/static/product/535,$729.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews
20,Asus ROG STRIX G...,https://webscraper.io//test-sites/e-commerce/static/product/536,$799.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews
21,Acer Nitro 5 AN5...,https://webscraper.io//test-sites/e-commerce/static/product/537,$809.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews
22,Asus ROG STRIX G...,https://webscraper.io//test-sites/e-commerce/static/product/538,$899.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",7 reviews
23,Lenovo ThinkPad...,https://webscraper.io//test-sites/e-commerce/static/product/539,$999.00,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews
24,Lenovo Legion Y5...,https://webscraper.io//test-sites/e-commerce/static/product/540,$1149.00,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews
25,Lenovo Legion Y7...,https://webscraper.io//test-sites/e-commerce/static/product/541,$1399.00,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",8 reviews
26,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/542,$1769.00,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",7 reviews
27,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/543,$1769.00,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",8 reviews
28,Asus ROG Strix S...,https://webscraper.io//test-sites/e-commerce/static/product/544,$1799.00,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",8 reviews
29,Asus VivoBook X4...,https://webscraper.io//test-sites/e-commerce/static/product/545,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",14 reviews
30,Prestigio SmartB...,https://webscraper.io//test-sites/e-commerce/static/product/546,$299.00,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",8 reviews
31,Prestigio SmartB...,https://webscraper.io//test-sites/e-commerce/static/product/547,$299.00,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",12 reviews
32,Lenovo V110-15IA...,https://webscraper.io//test-sites/e-commerce/static/product/548,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",5 reviews
33,Lenovo V110-15IA...,https://webscraper.io//test-sites/e-commerce/static/product/549,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",6 reviews
34,Hewlett Packard...,https://webscraper.io//test-sites/e-commerce/static/product/550,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",12 reviews
35,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/551,$372.70,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2 reviews
36,Acer Aspire A315...,https://webscraper.io//test-sites/e-commerce/static/product/552,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",0 reviews
37,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/553,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",9 reviews
38,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/554,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
39,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/555,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",9 reviews
40,Asus VivoBook E5...,https://webscraper.io//test-sites/e-commerce/static/product/556,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",3 reviews
41,Lenovo ThinkPad...,https://webscraper.io//test-sites/e-commerce/static/product/557,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",12 reviews
42,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/558,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",10 reviews
43,Lenovo V110-15IS...,https://webscraper.io//test-sites/e-commerce/static/product/559,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",9 reviews
44,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/560,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",14 reviews
45,Asus VivoBook 15...,https://webscraper.io//test-sites/e-commerce/static/product/561,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4 reviews
46,Asus EeeBook R41...,https://webscraper.io//test-sites/e-commerce/static/product/562,$433.30,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1 reviews
47,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/563,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1 reviews
48,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/564,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",2 reviews
49,Acer Extensa 15...,https://webscraper.io//test-sites/e-commerce/static/product/565,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",6 reviews
50,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/566,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",9 reviews
51,Lenovo V110-15IS...,https://webscraper.io//test-sites/e-commerce/static/product/567,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2 reviews
52,Acer Aspire A315...,https://webscraper.io//test-sites/e-commerce/static/product/568,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",9 reviews
53,Lenovo V110-15IK...,https://webscraper.io//test-sites/e-commerce/static/product/569,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",7 reviews
54,Asus VivoBook 15...,https://webscraper.io//test-sites/e-commerce/static/product/570,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",1 reviews
55,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/571,$469.10,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",5 reviews
56,Lenovo V510 Blac...,https://webscraper.io//test-sites/e-commerce/static/product/572,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",8 reviews
57,Acer Aspire ES1-...,https://webscraper.io//test-sites/e-commerce/static/product/573,$485.90,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",6 reviews
58,Lenovo V510 Blac...,https://webscraper.io//test-sites/e-commerce/static/product/574,$487.80,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",9 reviews
59,Acer Swift 1 SF1...,https://webscraper.io//test-sites/e-commerce/static/product/575,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",4 reviews
60,Acer Aspire 3 A3...,https://webscraper.io//test-sites/e-commerce/static/product/576,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",2 reviews
61,Dell Vostro 15 (...,https://webscraper.io//test-sites/e-commerce/static/product/577,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",9 reviews
62,Lenovo V510 Blac...,https://webscraper.io//test-sites/e-commerce/static/product/578,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",5 reviews
63,Lenovo ThinkPad...,https://webscraper.io//test-sites/e-commerce/static/product/579,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",14 reviews
64,Dell Inspiron 15...,https://webscraper.io//test-sites/e-commerce/static/product/580,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",7 reviews
65,MSI GL72M 7RDX,https://webscraper.io//test-sites/e-commerce/static/product/581,$1099.00,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1 reviews
66,MSI GL72M 7RDX,https://webscraper.io//test-sites/e-commerce/static/product/582,$1099.00,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",9 reviews
67,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/583,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",4 reviews
68,Dell Latitude 52...,https://webscraper.io//test-sites/e-commerce/static/product/584,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",8 reviews
69,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/585,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",4 reviews
70,Lenovo Legion Y5...,https://webscraper.io//test-sites/e-commerce/static/product/586,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",1 reviews
71,Toshiba Portege...,https://webscraper.io//test-sites/e-commerce/static/product/587,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",0 reviews
72,Acer Predator He...,https://webscraper.io//test-sites/e-commerce/static/product/588,$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",1 reviews
73,Acer Aspire 7 A7...,https://webscraper.io//test-sites/e-commerce/static/product/589,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",4 reviews
74,Dell Inspiron 17...,https://webscraper.io//test-sites/e-commerce/static/product/590,$1124.20,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",10 reviews
75,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/591,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",14 reviews
76,Lenovo Legion Y5...,https://webscraper.io//test-sites/e-commerce/static/product/592,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",13 reviews
77,Asus AsusPro Adv...,https://webscraper.io//test-sites/e-commerce/static/product/593,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",7 reviews
78,Acer Nitro 5 AN5...,https://webscraper.io//test-sites/e-commerce/static/product/594,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",14 reviews
79,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/595,$1143.40,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
80,Dell Inspiron 15...,https://webscraper.io//test-sites/e-commerce/static/product/596,$1144.20,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",2 reviews
81,Dell Latitude 55...,https://webscraper.io//test-sites/e-commerce/static/product/597,$1144.40,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",10 reviews
82,MSI GP62M 7RDX L...,https://webscraper.io//test-sites/e-commerce/static/product/598,$1149.00,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",11 reviews
83,Lenovo Yoga 720...,https://webscraper.io//test-sites/e-commerce/static/product/599,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",12 reviews
84,Toshiba Portege...,https://webscraper.io//test-sites/e-commerce/static/product/600,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",7 reviews
85,Acer TravelMate...,https://webscraper.io//test-sites/e-commerce/static/product/601,$1170.10,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",0 reviews
86,Dell Latitude 55...,https://webscraper.io//test-sites/e-commerce/static/product/602,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",6 reviews
87,MSI GS63 7RD Ste...,https://webscraper.io//test-sites/e-commerce/static/product/603,$1179.00,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",2 reviews
88,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/604,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
89,Acer Predator He...,https://webscraper.io//test-sites/e-commerce/static/product/605,$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",14 reviews
90,MSI GL62M 7REX,https://webscraper.io//test-sites/e-commerce/static/product/606,$1199.00,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",7 reviews
91,MSI GL62M 7REX2,https://webscraper.io//test-sites/e-commerce/static/product/607,$1199.00,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",12 reviews
92,Lenovo Yoga 910...,https://webscraper.io//test-sites/e-commerce/static/product/608,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",7 reviews
93,Toshiba Portege...,https://webscraper.io//test-sites/e-commerce/static/product/609,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",13 reviews
94,Lenovo IdeaPad M...,https://webscraper.io//test-sites/e-commerce/static/product/610,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",0 reviews
95,Acer Predator He...,https://webscraper.io//test-sites/e-commerce/static/product/611,$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",9 reviews
96,Asus VivoBook Pr...,https://webscraper.io//test-sites/e-commerce/static/product/612,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",10 reviews
97,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/613,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",0 reviews
98,Asus ZenBook UX5...,https://webscraper.io//test-sites/e-commerce/static/product/614,$1239.20,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",14 reviews
99,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/615,$1259.00,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",7 reviews
100,Apple MacBook Ai...,https://webscraper.io//test-sites/e-commerce/static/product/616,$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",8 reviews
101,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/617,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",13 reviews
102,Hewlett Packard...,https://webscraper.io//test-sites/e-commerce/static/product/618,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",8 reviews
103,Toshiba Portege...,https://webscraper.io//test-sites/e-commerce/static/product/619,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",6 reviews
104,MSI GL62VR 7RFX,https://webscraper.io//test-sites/e-commerce/static/product/620,$1299.00,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",1 reviews
105,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/621,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",8 reviews
106,Hewlett Packard...,https://webscraper.io//test-sites/e-commerce/static/product/622,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",2 reviews
107,Apple MacBook Pr...,https://webscraper.io//test-sites/e-commerce/static/product/623,$1333.00,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",0 reviews
108,Dell Latitude 55...,https://webscraper.io//test-sites/e-commerce/static/product/624,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",6 reviews
109,Dell Latitude 54...,https://webscraper.io//test-sites/e-commerce/static/product/625,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",11 reviews
110,Dell Latitude 55...,https://webscraper.io//test-sites/e-commerce/static/product/626,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",3 reviews
111,Apple MacBook Ai...,https://webscraper.io//test-sites/e-commerce/static/product/627,$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",11 reviews
112,Lenovo ThinkPad...,https://webscraper.io//test-sites/e-commerce/static/product/628,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",5 reviews
113,Lenovo ThinkPad...,https://webscraper.io//test-sites/e-commerce/static/product/629,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",12 reviews
114,Toshiba Portege...,https://webscraper.io//test-sites/e-commerce/static/product/630,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",11 reviews
115,Asus ASUSPRO B94...,https://webscraper.io//test-sites/e-commerce/static/product/631,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",4 reviews
116,Asus ROG Strix G...,https://webscraper.io//test-sites/e-commerce/static/product/632,$1399.00,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",10 reviews
